Net Name,Trace Name,Diff Impedance (Ohm),Length (mil), Trace Delay (ps), (x;y)Location-(mil),Layer
DDR_LDQS_P / DDR_LDQS_N
,Trace15500::DDR_LDQS_P / Trace15425::DDR_LDQS_N,88.6,21.319,3.4,(5018.951;3289.888),Signal$TOP / Signal$TOP
,Trace15501::DDR_LDQS_P / Trace15424::DDR_LDQS_N,88.6,187.303,29.9,(5120.140;3282.350),Signal$TOP / Signal$TOP
,Trace15502::DDR_LDQS_P / Trace15423::DDR_LDQS_N,88.6,66.101,10.6,(5237.161;3305.720),Signal$TOP / Signal$TOP
,Trace15503::DDR_LDQS_P / Trace15422::DDR_LDQS_N,88.6,297.260,47.5,(5260.531;3477.720),Signal$TOP / Signal$TOP
,Trace15504::DDR_LDQS_P / Trace15421::DDR_LDQS_N,88.6,109.407,17.5,(5221.850;3665.031),Signal$TOP / Signal$TOP
,Trace15505::DDR_LDQS_P / Trace15420::DDR_LDQS_N,88.6,111.531,17.8,(5180.531;3765.844),Signal$TOP / Signal$TOP
,Trace15506::DDR_LDQS_P / Trace15419::DDR_LDQS_N,88.6,19.573,3.1,(5173.610;3828.530),Signal$TOP / Signal$TOP
,Trace15507::DDR_LDQS_P / Trace15418::DDR_LDQS_N,88.6,19.047,3.0,(5157.165;3835.449),Signal$TOP / Signal$TOP
,Trace15508::DDR_LDQS_P / Trace15417::DDR_LDQS_N,88.6,15.459,2.5,(5142.175;3829.984),Signal$TOP / Signal$TOP
,Trace15509::DDR_LDQS_P / Trace15416::DDR_LDQS_N,88.6,29.988,4.8,(5136.709;3809.526),Signal$TOP / Signal$TOP
,Trace15510::DDR_LDQS_P / Trace15415::DDR_LDQS_N,88.6,5.907,0.9,(5131.986;3786.077),Signal$TOP / Signal$TOP
,Trace15511::DDR_LDQS_P / Trace15414::DDR_LDQS_N,88.6,20.000,3.2,(5113.531;3781.350),Signal$TOP / Signal$TOP
,Trace15512::DDR_LDQS_P / Trace15413::DDR_LDQS_N,88.6,26.873,4.3,(5087.665;3793.486),Signal$TOP / Signal$TOP
,Trace15513::DDR_LDQS_P / Trace15412::DDR_LDQS_N,88.6,10.272,1.6,(5075.531;3814.486),Signal$TOP / Signal$TOP
,Trace15514::DDR_LDQS_P / Trace15411::DDR_LDQS_N,88.6,13.761,2.2,(5070.665;3824.486),Signal$TOP / Signal$TOP
,Trace15515::DDR_LDQS_P / Trace15410::DDR_LDQS_N,88.6,48.539,7.8,(5041.530;3829.350),Signal$TOP / Signal$TOP
